0.816406 0.36084 , 0.947266 0.290039
0.82373 0.33667 , 0.947754 0.309814
0.81543 0.337891 , 0.954102 0.307617
0.754395 0.81543 , 0.940918 0.275635
0.773438 0.815918 , 0.939941 0.289551
0.756348 0.807129 , 0.948242 0.2771
0.771973 0.807129 , 0.947266 0.290039
0.756348 0.807129 , 0.948242 0.2771
0.773438 0.815918 , 0.939941 0.289551
0.445557 0.810547 , 0.946777 0.258545
0.445313 0.833496 , 0.948242 0.2771
0.452637 0.815918 , 0.953125 0.262207
0.445313 0.833496 , 0.948242 0.2771
0.445557 0.810547 , 0.946777 0.258545
0.436768 0.832031 , 0.940918 0.275635
0.817383 0.0940552 , 0.958984 0.244263
0.839355 0.0856934 , 0.953125 0.262207
0.819824 0.0854492 , 0.963379 0.249634
0.839355 0.0856934 , 0.953125 0.262207
0.817383 0.0940552 , 0.958984 0.244263
0.841797 0.0941772 , 0.946777 0.258545
0.394287 0.52832 , 0.311523 0.132446
0.394287 0.466064 , 0.359131 0.134521
0.384277 0.528809 , 0.312256 0.12561
0.384277 0.528809 , 0.312256 0.12561
0.394287 0.466064 , 0.359131 0.134521
0.384277 0.465576 , 0.358643 0.127808
0.409912 0.528809 , 0.312256 0.12561
0.409912 0.465576 , 0.358643 0.127808
0.399902 0.468262 , 0.357666 0.120483
0.409912 0.528809 , 0.312256 0.12561
0.399902 0.468262 , 0.357666 0.120483
0.399902 0.526367 , 0.313477 0.118469
0.52002 0.666504 , 0.315674 0.102112
0.529785 0.620605 , 0.356445 0.112122
0.52002 0.623535 , 0.355957 0.103516
0.529785 0.669922 , 0.314697 0.110535
0.529785 0.620605 , 0.356445 0.112122
0.52002 0.666504 , 0.315674 0.102112
0.633301 0.405762 , 0.315674 0.09375
0.675781 0.415771 , 0.355957 0.103516
0.675293 0.405762 , 0.356201 0.0950928
0.675781 0.415771 , 0.355957 0.103516
0.633301 0.405762 , 0.315674 0.09375
0.632813 0.415771 , 0.315674 0.102112
0.961914 0.515137 , 0.313232 0.147949
0.972168 0.470947 , 0.355957 0.157593
0.961914 0.468262 , 0.357178 0.149414
0.972168 0.470947 , 0.355957 0.157593
0.961914 0.515137 , 0.313232 0.147949
0.972168 0.512695 , 0.313965 0.15625
0.714844 0.663086 , 0.358643 0.141602
0.766602 0.652832 , 0.313232 0.147949
0.719238 0.652832 , 0.357178 0.149414
0.766602 0.652832 , 0.313232 0.147949
0.714844 0.663086 , 0.358643 0.141602
0.770508 0.663086 , 0.312012 0.139771
0.393799 0.634277 , 0.312012 0.139771
0.334961 0.644531 , 0.359131 0.134521
0.397217 0.644531 , 0.311523 0.132446
0.334961 0.644531 , 0.359131 0.134521
0.393799 0.634277 , 0.312012 0.139771
0.338379 0.634277 , 0.358643 0.141602
0.220337 0.86084 , 0.811035 0.424805
0.220093 0.838867 , 0.80127 0.438721
0.196411 0.861328 , 0.827148 0.436279
0.220093 0.838867 , 0.80127 0.438721
0.196045 0.835938 , 0.814453 0.453369
0.196411 0.861328 , 0.827148 0.436279
0.120789 0.589355 , 0.681152 0.405518
0.149414 0.588867 , 0.690918 0.427246
0.125488 0.565918 , 0.700684 0.401367
0.125488 0.565918 , 0.700684 0.401367
0.149414 0.588867 , 0.690918 0.427246
0.149902 0.56543 , 0.708008 0.419189
0.612793 0.916504 , 0.690918 0.427246
0.583984 0.919922 , 0.706055 0.446533
0.611328 0.939453 , 0.708008 0.419189
0.611328 0.939453 , 0.708008 0.419189
0.583984 0.919922 , 0.706055 0.446533
0.586914 0.942383 , 0.719727 0.433838
0.112671 0.963379 , 0.726563 0.460449
0.100281 0.994629 , 0.719727 0.433838
0.12262 0.990723 , 0.706055 0.446533
0.100281 0.994629 , 0.719727 0.433838
0.112671 0.963379 , 0.726563 0.460449
0.0918579 0.97168 , 0.734863 0.444336
0.204834 0.490723 , 0.754395 0.454102
0.232422 0.511719 , 0.726563 0.460449
0.225342 0.479248 , 0.752441 0.473145
0.232422 0.511719 , 0.726563 0.460449
0.204834 0.490723 , 0.754395 0.454102
0.210938 0.518066 , 0.734863 0.444336
0.0802612 0.571777 , 0.768555 0.453857
0.109375 0.581543 , 0.752441 0.473145
0.101257 0.560547 , 0.771973 0.4729
0.109375 0.581543 , 0.752441 0.473145
0.0802612 0.571777 , 0.768555 0.453857
0.0871582 0.589355 , 0.754395 0.454102
0.179321 0.861328 , 0.771973 0.4729
0.179321 0.833496 , 0.794922 0.467285
0.15564 0.861328 , 0.768555 0.453857
0.15564 0.861328 , 0.768555 0.453857
0.179321 0.833496 , 0.794922 0.467285
0.155518 0.837891 , 0.786133 0.449463
0.196899 0.901855 , 0.794922 0.467285
0.173218 0.875977 , 0.80127 0.438721
0.172974 0.899902 , 0.786133 0.449463
0.173218 0.875977 , 0.80127 0.438721
0.196899 0.901855 , 0.794922 0.467285
0.197266 0.873535 , 0.814453 0.453369
0.401123 0.620117 , 0.795898 0.433838
0.419922 0.628906 , 0.811035 0.424805
0.418701 0.620117 , 0.804199 0.421631
0.419922 0.628906 , 0.811035 0.424805
0.401123 0.620117 , 0.795898 0.433838
0.398438 0.628906 , 0.80127 0.438721
0.805176 0.815918 , 0.700684 0.401367
0.828125 0.807129 , 0.714355 0.416748
0.808594 0.807617 , 0.708008 0.401855
0.828125 0.807129 , 0.714355 0.416748
0.805176 0.815918 , 0.700684 0.401367
0.829102 0.81543 , 0.708008 0.419189
0.847168 0.0861816 , 0.719727 0.433838
0.868652 0.0928345 , 0.714355 0.416748
0.871582 0.0846558 , 0.708008 0.419189
0.868652 0.0928345 , 0.714355 0.416748
0.847168 0.0861816 , 0.719727 0.433838
0.849609 0.0941772 , 0.724609 0.428955
0.42041 0.785156 , 0.719727 0.433838
0.397705 0.794922 , 0.734863 0.444336
0.40332 0.800781 , 0.737793 0.438232
0.42041 0.785156 , 0.719727 0.433838
0.40332 0.800781 , 0.737793 0.438232
0.421143 0.793945 , 0.724609 0.428955
0.643555 0.312256 , 0.734863 0.444336
0.671875 0.312012 , 0.754395 0.454102
0.66748 0.304688 , 0.754883 0.446777
0.66748 0.304688 , 0.754883 0.446777
0.644531 0.303955 , 0.737793 0.438232
0.643555 0.312256 , 0.734863 0.444336
0.609375 0.0864258 , 0.767578 0.447021
0.60498 0.10144 , 0.754883 0.446777
0.612793 0.10498 , 0.754395 0.454102
0.609375 0.0864258 , 0.767578 0.447021
0.612793 0.10498 , 0.754395 0.454102
0.618164 0.0866699 , 0.768555 0.453857
0.903809 0.192993 , 0.786133 0.449463
0.895508 0.214844 , 0.767578 0.447021
0.903809 0.216553 , 0.768555 0.453857
0.895508 0.214844 , 0.767578 0.447021
0.903809 0.192993 , 0.786133 0.449463
0.895508 0.195557 , 0.782715 0.442871
0.426758 0.793457 , 0.80127 0.438721
0.449951 0.79541 , 0.782715 0.442871
0.449951 0.786621 , 0.786133 0.449463
0.449951 0.79541 , 0.782715 0.442871
0.426758 0.793457 , 0.80127 0.438721
0.431152 0.800781 , 0.795898 0.433838
0.901855 0.535156 , 0.80957 0.197266
0.90918 0.545898 , 0.809082 0.187378
0.908691 0.53125 , 0.803711 0.19873
0.916016 0.539063 , 0.802246 0.189819
0.908691 0.53125 , 0.803711 0.19873
0.90918 0.545898 , 0.809082 0.187378
0.918945 0.520996 , 0.790527 0.200684
0.908691 0.53125 , 0.803711 0.19873
0.916016 0.539063 , 0.802246 0.189819
0.918945 0.520996 , 0.790527 0.200684
0.916016 0.539063 , 0.802246 0.189819
0.926758 0.527344 , 0.790527 0.192383
0.935059 0.510742 , 0.776367 0.192139
0.918945 0.520996 , 0.790527 0.200684
0.926758 0.527344 , 0.790527 0.192383
0.918945 0.520996 , 0.790527 0.200684
0.935059 0.510742 , 0.776367 0.192139
0.925293 0.506836 , 0.775879 0.200439
0.937988 0.484619 , 0.753906 0.189453
0.925293 0.506836 , 0.775879 0.200439
0.935059 0.510742 , 0.776367 0.192139
0.925293 0.506836 , 0.775879 0.200439
0.937988 0.484619 , 0.753906 0.189453
0.927734 0.485352 , 0.754883 0.198242
0.933105 0.449463 , 0.721191 0.184448
0.927734 0.485352 , 0.754883 0.198242
0.937988 0.484619 , 0.753906 0.189453
0.927734 0.485352 , 0.754883 0.198242
0.933105 0.449463 , 0.721191 0.184448
0.922852 0.449951 , 0.721191 0.192749
0.943359 0.200439 , 0.652832 0.236572
0.936523 0.192993 , 0.654785 0.228394
0.927734 0.201782 , 0.639648 0.22522
0.927734 0.201782 , 0.639648 0.22522
0.937012 0.206055 , 0.639648 0.233398
0.943359 0.200439 , 0.652832 0.236572
0.927734 0.201782 , 0.639648 0.22522
0.912109 0.234741 , 0.605957 0.219849
0.937012 0.206055 , 0.639648 0.233398
0.921875 0.238281 , 0.604004 0.227783
0.937012 0.206055 , 0.639648 0.233398
0.912109 0.234741 , 0.605957 0.219849
0.912109 0.234741 , 0.605957 0.219849
0.90918 0.266357 , 0.578613 0.213135
0.921875 0.238281 , 0.604004 0.227783
0.921875 0.238281 , 0.604004 0.227783
0.90918 0.266357 , 0.578613 0.213135
0.919434 0.264404 , 0.577637 0.221313
0.90918 0.266357 , 0.578613 0.213135
0.925293 0.281982 , 0.55957 0.216919
0.919434 0.264404 , 0.577637 0.221313
0.925293 0.281982 , 0.55957 0.216919
0.90918 0.266357 , 0.578613 0.213135
0.916504 0.288086 , 0.559082 0.208252
0.916504 0.288086 , 0.559082 0.208252
0.936523 0.293701 , 0.544922 0.217896
0.925293 0.281982 , 0.55957 0.216919
0.936523 0.293701 , 0.544922 0.217896
0.916504 0.288086 , 0.559082 0.208252
0.926758 0.303223 , 0.542969 0.206543
0.926758 0.303223 , 0.542969 0.206543
0.945313 0.297119 , 0.538574 0.222168
0.936523 0.293701 , 0.544922 0.217896
0.945313 0.297119 , 0.538574 0.222168
0.926758 0.303223 , 0.542969 0.206543
0.932617 0.312256 , 0.53418 0.207031
0.144287 0.657227 , 0.19104 0.109192
0.138184 0.67334 , 0.191162 0.122681
0.151855 0.674316 , 0.202026 0.120239
0.156372 0.663086 , 0.202026 0.109558
0.144287 0.657227 , 0.19104 0.109192
0.151855 0.674316 , 0.202026 0.120239
0.171753 0.679199 , 0.21814 0.118164
0.156372 0.663086 , 0.202026 0.109558
0.151855 0.674316 , 0.202026 0.120239
0.156372 0.663086 , 0.202026 0.109558
0.171753 0.679199 , 0.21814 0.118164
0.175415 0.669922 , 0.218262 0.109436
0.196045 0.688965 , 0.238281 0.116394
0.175415 0.669922 , 0.218262 0.109436
0.171753 0.679199 , 0.21814 0.118164
0.175415 0.669922 , 0.218262 0.109436
0.196045 0.688965 , 0.238281 0.116394
0.199585 0.679199 , 0.238647 0.108276
0.226318 0.702637 , 0.263428 0.114563
0.199585 0.679199 , 0.238647 0.108276
0.196045 0.688965 , 0.238281 0.116394
0.199585 0.679199 , 0.238647 0.108276
0.226318 0.702637 , 0.263428 0.114563
0.231079 0.693359 , 0.265869 0.106812
0.26416 0.712891 , 0.297119 0.109619
0.231079 0.693359 , 0.265869 0.106812
0.226318 0.702637 , 0.263428 0.114563
0.26416 0.712891 , 0.297119 0.109619
0.226318 0.702637 , 0.263428 0.114563
0.260742 0.722656 , 0.293213 0.117554
0.289063 0.721191 , 0.313477 0.118469
0.26416 0.712891 , 0.297119 0.109619
0.260742 0.722656 , 0.293213 0.117554
0.26416 0.712891 , 0.297119 0.109619
0.289063 0.721191 , 0.313477 0.118469
0.284668 0.711426 , 0.314697 0.110535
0.901855 0.535156 , 0.214355 0.161377
0.90918 0.545898 , 0.217163 0.170898
0.908691 0.53125 , 0.219971 0.158691
0.916016 0.539063 , 0.223389 0.166992
0.908691 0.53125 , 0.219971 0.158691
0.90918 0.545898 , 0.217163 0.170898
0.918945 0.520996 , 0.231934 0.153931
0.908691 0.53125 , 0.219971 0.158691
0.916016 0.539063 , 0.223389 0.166992
0.918945 0.520996 , 0.231934 0.153931
0.916016 0.539063 , 0.223389 0.166992
0.926758 0.527344 , 0.233765 0.161987
0.935059 0.510742 , 0.246826 0.159302
0.918945 0.520996 , 0.231934 0.153931
0.926758 0.527344 , 0.233765 0.161987
0.918945 0.520996 , 0.231934 0.153931
0.935059 0.510742 , 0.246826 0.159302
0.925293 0.506836 , 0.24585 0.151001
0.937988 0.484619 , 0.268311 0.157593
0.925293 0.506836 , 0.24585 0.151001
